epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.9711407803474589,0.517,0.79188619775975,0.688,0.0003
2,0.7447363784972657,0.6835833333333333,0.674604947262622,0.6976666666666667,0.0003
3,0.6746685241765165,0.7018333333333333,0.6245936193364732,0.728,0.0003
4,0.6560339309433674,0.7090833333333333,0.6473554784947253,0.711,0.0003
5,0.652192677906219,0.7131666666666666,0.6078625238956289,0.7363333333333333,0.0003
6,0.6463757813610929,0.715,0.6098541021347046,0.7363333333333333,0.0003
7,0.6420065843044443,0.7171666666666666,0.6346019512795388,0.7086666666666667,0.0003
8,0.6415621663661714,0.7239166666666667,0.6032418925711449,0.7446666666666667,0.0003
9,0.635674758477414,0.7244166666666667,0.6042517924562414,0.7396666666666667,0.0003
10,0.6314922891398693,0.725,0.6011570222834324,0.7363333333333333,0.0003
11,0.6258785087377468,0.7285,0.606666698100719,0.7306666666666667,0.0003
12,0.6286266991432677,0.7271666666666666,0.6013902463811509,0.7393333333333333,0.0003
13,0.6219726875424385,0.733,0.5924848692214235,0.7556666666666667,0.0003
14,0.6136842740977064,0.735,0.5853502496759942,0.754,0.0003
15,0.6124506423130949,0.7361666666666666,0.5887087342586923,0.7593333333333333,0.0003
16,0.6057809616657014,0.7420833333333333,0.5783912964323734,0.749,0.0003
17,0.6031500938090872,0.7423333333333333,0.6234184655737369,0.7256666666666667,0.0003
18,0.5977896933859967,0.74575,0.5872429628321465,0.754,0.0003
19,0.5986451733302562,0.7433333333333333,0.5679999646988321,0.7583333333333333,0.0003
20,0.5901383028385487,0.7501666666666666,0.5703366487584216,0.762,0.0003
21,0.5919377908427664,0.7495,0.5899262529738406,0.7583333333333333,0.0003
22,0.5908857454010781,0.7535,0.567625789566243,0.7623333333333333,0.0003
23,0.5768880615843103,0.75775,0.5841223749708622,0.747,0.0003
24,0.5861961400889336,0.7514166666666666,0.5777492212488297,0.7623333333333333,0.0003
25,0.5832104034563328,0.7523333333333333,0.5745359361171722,0.7456666666666667,0.0003
26,0.5753369288558655,0.75725,0.5584111289775118,0.766,0.0003
27,0.5774560220381046,0.7554166666666666,0.5641555107654409,0.7623333333333333,0.0003
28,0.5759419698981528,0.7554166666666666,0.5582686320264288,0.7596666666666667,0.0003
29,0.5761467565564399,0.7579166666666667,0.5769201967310398,0.7493333333333333,0.0003
30,0.5729624486349999,0.7571666666666667,0.5715839621868539,0.7636666666666667,0.0003
